# time         sensor    measurable   value
1393134996     1      0      28.6120
1393134996     2      0      21.6930
1393135001     1      0      25.3200
1393135001     2      0      21.6570
1393135006     1      0      29.9640
1393135006     2      0      20.3100
1393135011     1      0      24.4120
1393135011     2      0      20.3880
1393135016     1      0      21.1560
1393135016     2      0      20.6260
1393135021     1      0      24.8750
1393135021     2      0      20.3440
1393135026     1      0      16.4760
1393135026     2      0      21.1810
1393135031     1      0      28.6120
1393135031     2      0      20.5400
1393135036     1      0      32.3310
1393135036     2      0      20.9240
1393135041     1      0      23.9320
1393135041     2      0      20.0720
1393135046     1      0      21.1560
1393135046     2      0      20.3490
1393135051     1      0      21.1560
1393135051     2      0      20.1480
1393135056     1      0      28.6120
1393135056     2      0      20.4040
1393135061     1      0      28.6650
1393135061     2      0      19.9650
1393135066     1      0      28.6120
1393135066     2      0      20.2600
1393135071     1      0      28.5760
1393135071     2      0      20.2080
1393135076     1      0      22.9890
1393135076     2      0      19.5280
1393135081     1      0      16.4760
1393135081     2      0      20.1350
1393135086     1      0      24.8750
1393135086     2      0      19.6270
1393135091     1      0      28.6120
1393135091     2      0      19.8710
1393135096     1      0      21.1560
1393135096     2      0      20.0960
1393135101     1      0      21.1560
1393135101     2      0      20.0960
1393135106     1      0      26.7790
1393135106     2      0      20.6600
1393135111     1      0      30.4270
1393135111     2      0      21.6440
1393135116     1      0      21.1560
1393135116     2      0      19.9200
1393135121     1      0      30.0000
1393135121     2      0      21.8140
1393135126     1      0      27.5800
1393135126     2      0      20.1530
1393135131     1      0      29.0390
1393135131     2      0      21.7640
1393135136     1      0      23.0240
1393135136     2      0      20.2840
1393135141     1      0      26.8320
1393135141     2      0      21.0530
1393135146     1      0      21.1560
1393135146     2      0      20.6730
1393135151     1      0      27.6690
1393135151     2      0      21.8140
1393135156     1      0      23.1130
1393135156     2      0      21.3140
1393135161     1      0      22.9710
1393135161     2      0      20.4850
1393135166     1      0      21.1560
1393135166     2      0      21.1100
1393135171     1      0      23.0240
1393135171     2      0      21.1470
1393135176     1      0      23.2560
1393135176     2      0      21.1130
1393135181     1      0      25.8180
1393135181     2      0      21.4890
1393135186     1      0      23.0240
1393135186     2      0      21.1310
1393135191     1      0      27.0640
1393135191     2      0      21.6020
1393135196     1      0      26.7430
1393135196     2      0      20.5370
1393135201     1      0      22.9890
1393135201     2      0      20.9040
1393135206     1      0      23.2560
1393135206     2      0      21.0870
1393135211     1      0      26.7430
1393135211     2      0      20.9220
1393135216     1      0      21.1560
1393135216     2      0      21.3740
1393135221     1      0      30.4620
1393135221     2      0      22.6350
1393135226     1      0      26.5120
1393135226     2      0      21.3350
1393135231     1      0      21.1560
1393135231     2      0      22.0670
1393135236     1      0      17.4190
1393135236     2      0      22.4410
1393135241     1      0      22.5620
1393135241     2      0      22.1770
1393135246     1      0      22.0990
1393135246     2      0      22.1380
1393135251     1      0      27.5620
1393135251     2      0      23.1760
1393135256     1      0      22.5260
1393135256     2      0      21.8210
1393135261     1      0      26.7430
1393135261     2      0      21.8660
1393135266     1      0      23.4870
1393135266     2      0      21.8480
1393135271     1      0      23.0240
1393135271     2      0      21.7250
1393135276     1      0      16.0130
1393135276     2      0      22.8050
1393135281     1      0      25.7820
1393135281     2      0      22.3520
1393135286     1      0      21.1560
1393135286     2      0      21.7870
1393135291     1      0      23.2200
1393135291     2      0      21.5230
1393135296     1      0      21.1560
1393135296     2      0      22.2190
1393135301     1      0      22.5620
1393135301     2      0      22.9380
1393135306     1      0      29.1630
1393135306     2      0      22.8910
1393135311     1      0      22.0990
1393135311     2      0      22.0280
1393135316     1      0      26.8320
1393135316     2      0      22.2530
1393135321     1      0      22.9890
1393135321     2      0      21.8530
1393135326     1      0      24.8750
1393135326     2      0      21.5420
1393135331     1      0      27.6690
1393135331     2      0      22.5620
1393135336     1      0      21.1560
1393135336     2      0      21.6930
1393135341     1      0      29.5020
1393135341     2      0      22.6300
1393135346     1      0      22.5260
1393135346     2      0      21.5440
1393135351     1      0      30.4270
1393135351     2      0      23.2700
1393135356     1      0      28.6830
1393135356     2      0      22.0750
1393135361     1      0      28.5760
1393135361     2      0      23.9370
1393135366     1      0      26.6190
1393135366     2      0      21.7980
1393135371     1      0      30.4090
1393135371     2      0      23.8170
1393135376     1      0      29.5020
1393135376     2      0      23.6730
1393135381     1      0      26.2450
1393135381     2      0      22.4670
1393135385     1      0      21.1560
1393135385     2      0      22.1850
1393135390     1      0      22.9890
1393135390     2      0      21.8690
1393135395     1      0      26.7790
1393135395     2      0      22.7970
1393135400     1      0      28.6120
1393135400     2      0      23.1470
1393135405     1      0      26.0140
1393135405     2      0      22.3600
1393135410     1      0      21.1560
1393135410     2      0      22.2630
1393135415     1      0      26.2810
1393135415     2      0      21.5700
1393135420     1      0      24.8750
1393135420     2      0      21.4470
1393135425     1      0      23.1130
1393135425     2      0      21.4420
1393135430     1      0      28.6120
1393135430     2      0      22.2370
1393135435     1      0      23.4510
1393135435     2      0      21.5550
1393135440     1      0      23.0240
1393135440     2      0      21.9630
1393135445     1      0      28.6120
1393135445     2      0      21.9290
1393135450     1      0      19.2700
1393135450     2      0      22.3780
1393135455     1      0      29.0390
1393135455     2      0      21.6830
1393135460     1      0      26.7430
1393135460     2      0      21.1100
1393135465     1      0      23.0240
1393135465     2      0      21.7640
1393135470     1      0      21.1560
1393135470     2      0      22.0410
1393135475     1      0      26.8320
1393135475     2      0      22.5960
1393135480     1      0      17.5260
1393135480     2      0      21.8870
1393135485     1      0      16.4760
1393135485     2      0      22.1250
1393135490     1      0      26.7430
1393135490     2      0      21.2980
1393135495     1      0      26.7430
1393135495     2      0      21.2380
1393135500     1      0      26.9390
1393135500     2      0      22.2710
1393135505     1      0      29.0390
1393135505     2      0      23.2100
1393135510     1      0      23.0240
1393135510     2      0      21.2510
1393135515     1      0      23.4510
