# time         sensor    measurable   value
1393135038     1      0      22.0990
1393135038     2      0      20.8900
1393135038     6      0      236.0000
1393135038     6      1      0.0000
1393135042     1      0      21.3340
1393135042     2      0      21.1080
1393135042     6      0      236.0000
1393135042     6      1      0.0000
1393135053     1      0      21.2090
1393135053     2      0      20.7070
1393135053     6      0      236.0000
1393135053     6      1      0.0000
1393135064     1      0      21.2090
1393135064     2      0      20.7340
1393135064     6      0      236.0000
1393135064     6      1      0.0000
1393135075     1      0      18.1310
1393135075     2      0      21.3770
1393135075     6      0      236.0000
1393135075     6      1      0.0000
1393135086     1      0      18.0240
1393135086     2      0      21.7430
1393135086     6      0      236.0000
1393135086     6      1      0.0000
1393135097     1      0      18.3800
1393135097     2      0      21.6460
1393135097     6      0      236.0000
1393135097     6      1      0.0000
1393135108     1      0      19.2340
1393135108     2      0      21.7330
1393135108     6      0      236.0000
1393135108     6      1      0.0000
1393135119     1      0      18.7360
1393135119     2      0      21.6200
1393135119     6      0      236.0000
1393135119     6      1      0.0000
1393135130     1      0      18.6110
1393135130     2      0      21.4290
1393135130     6      0      236.0000
1393135130     6      1      0.0000
1393135141     1      0      18.9670
1393135141     2      0      21.3950
1393135141     6      0      236.0000
1393135141     6      1      0.0000
1393135152     1      0      19.3230
1393135152     2      0      21.3430
1393135152     6      0      236.0000
1393135152     6      1      0.0000
1393135163     1      0      19.2520
1393135163     2      0      21.2200
1393135163     6      0      236.0000
1393135163     6      1      0.0000
1393135174     1      0      19.2520
1393135174     2      0      21.1080
1393135174     6      0      236.0000
1393135174     6      1      0.0000
1393135185     1      0      19.2520
1393135185     2      0      20.9350
1393135185     6      0      236.0000
1393135185     6      1      0.0000
1393135196     1      0      19.4300
1393135196     2      0      20.8380
1393135196     6      0      236.0000
1393135196     6      1      0.0000
1393135207     1      0      19.2520
1393135207     2      0      20.7860
1393135207     6      0      236.0000
1393135207     6      1      0.0000
1393135218     1      0      19.4300
1393135218     2      0      20.8560
1393135218     6      0      236.0000
1393135218     6      1      0.0000
1393135229     1      0      19.3230
1393135229     2      0      20.7260
1393135229     6      0      236.0000
1393135229     6      1      0.0000
1393135240     1      0      19.2520
1393135240     2      0      20.5770
1393135240     6      0      236.0000
1393135240     6      1      0.0000
1393135251     1      0      19.4300
1393135251     2      0      20.5430
1393135251     6      0      236.0000
1393135251     6      1      0.0000
1393135262     1      0      19.5540
1393135262     2      0      20.6470
1393135262     6      0      236.0000
1393135262     6      1      0.0000
1393135273     1      0      19.4300
1393135273     2      0      20.6290
1393135273     6      0      236.0000
1393135273     6      1      0.0000
1393135284     1      0      19.4300
1393135284     2      0      20.6130
1393135284     6      0      236.0000
1393135284     6      1      0.0000
1393135295     1      0      19.4300
1393135295     2      0      20.7020
1393135295     6      0      236.0000
1393135295     6      1      0.0000
1393135306     1      0      19.5540
1393135306     2      0      21.0470
1393135306     6      0      236.0000
1393135306     6      1      0.0000
1393135317     1      0      19.4300
1393135317     2      0      21.3770
1393135317     6      0      236.0000
1393135317     6      1      0.0000
1393135328     1      0      19.7860
1393135328     2      0      21.6910
